segment_id,start,end,start_sec,end_sec,camera,transition,reason,subtitle
1,0:00:00,0:00:05,0,5,Camera1,fade,Opening stage shot,"小小的生息有著大他的感恩之心感恩開始的這件意,也感恩加上我們頭路的野出"
2,0:00:05,0:00:12,5,12.5,Camera2,crossfade,[Opening Ceremony] Switching to active stage angle: Stage Center (Close-up),"小小的生息有著大他的感恩之心感恩開始的這件意,也感恩加上我們頭路的野出"
3,0:00:12,0:00:18,12.5,18,Camera1,fade,[Opening Ceremony] Switching to active stage angle: Stage Front (Wide),"小小的生息有著大他的感恩之心感恩開始的這件意,也感恩加上我們頭路的野出"
4,0:00:18,0:00:22,18,22,Camera4,crossfade,[Opening Ceremony] Audience reaction (Audience Right),"小小的生息有著大他的感恩之心感恩開始的這件意,也感恩加上我們頭路的野出"
5,0:00:22,0:00:27,22,27.5,Camera1,fade,[Graduation Performance] Returning to stage performance (Stage Front (Wide)),"十五百開金十月,暴長新鑲喜代令"
6,0:00:27,0:00:57,27.5,57.5,Camera2,crossfade,[Graduation Performance] Switching to active stage angle: Stage Center (Close-up),"十五百開金十月,暴長新鑲喜代令 這是負擔重的暴君,白開其中的靠頭實際 今天我們有興要請到,因為畢竟是同學的媽媽,親與分享她的白開心的 而邀請她上台真想自己,先讓大家幫忙一段白開,回顧你"
7,0:00:57,0:01:06,57.5,66.5,Camera1,fade,[Certificate Presentation] Switching to active stage angle: Stage Front (Wide),"而邀請她上台真想自己,先讓大家幫忙一段白開,回顧你"
8,0:01:06,0:01:16,66.5,76,Camera2,crossfade,[Certificate Presentation] Switching to active stage angle: Stage Center (Close-up),请大家以热烈的掌声欢迎毕业班小朋友上台精彩演出！
9,0:01:16,0:01:20,76,80,Camera4,fade,[Certificate Presentation] Audience reaction (Audience Right),看小朋友们在舞台上展现自信与快乐的舞蹈表演！
10,0:01:20,0:01:39,80,99.5,Camera2,crossfade,[Closing Ceremony] Returning to stage performance (Stage Center (Close-up)),让我们再次为全体毕业生与付出辛劳的老师们热烈鼓掌！
11,0:01:39,0:01:43,99.5,103.5,Camera4,fade,[Closing Ceremony] Audience reaction (Audience Right),现在进行颁发毕业证书与优秀表现荣誉奖状环节。
12,0:01:43,0:02:03,103.5,123,Camera2,crossfade,[Closing Ceremony] Returning to stage performance (Stage Center (Close-up)),祝贺2026届全体毕业生快乐成长，前程似锦！
13,0:02:03,0:02:07,123,127,Camera4,fade,[Closing Ceremony] Audience reaction (Audience Right),欢迎各位家长、老师与嘉宾莅临阳光幼教毕业典礼！
14,0:02:07,0:02:26,127,146,Camera2,crossfade,[Closing Ceremony] Returning to stage performance (Stage Center (Close-up)),请大家以热烈的掌声欢迎毕业班小朋友上台精彩演出！
15,0:02:26,0:02:30,146,150,Camera4,fade,[Closing Ceremony] Audience reaction (Audience Right),看小朋友们在舞台上展现自信与快乐的舞蹈表演！
16,0:02:30,0:03:00,150,180,Camera2,crossfade,[Closing Ceremony] Returning to stage performance (Stage Center (Close-up)),让我们再次为全体毕业生与付出辛劳的老师们热烈鼓掌！
